City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
134,Roma,US,2021-07-17 03:51:22,43.2128,-75.4557,69.84,90,1,0.0
135,Pevek,RU,2021-07-17 03:51:22,69.7008,170.3133,43.16,77,10,5.55
136,Upernavik,GL,2021-07-17 03:51:23,72.7868,-56.1549,38.19,95,100,2.13
137,Ust-Kuyga,RU,2021-07-17 03:51:23,70.0167,135.6,51.13,91,100,15.01
138,Krasnoyarskiy,RU,2021-07-17 03:51:23,51.965,59.8967,70.68,57,100,14.43
139,Te Anau,NZ,2021-07-17 03:51:24,-45.4167,167.7167,49.26,92,90,2.71
140,Cherskiy,RU,2021-07-17 03:51:24,68.75,161.3,67.82,32,87,9.46
141,Poum,NC,2021-07-17 03:51:24,-20.2333,164.0167,75.2,85,1,9.01
142,Dubbo,AU,2021-07-17 03:51:25,-32.25,148.6167,51.93,54,40,24.16
143,Palora,EC,2021-07-17 03:51:25,-1.7,-77.9333,63.55,99,45,2.68
144,Antofagasta,CL,2021-07-17 03:49:49,-23.65,-70.4,54.68,79,72,4.65
145,Hervey Bay,AU,2021-07-17 03:51:25,-25.2986,152.8535,72.01,36,27,5.99
146,Ulladulla,AU,2021-07-17 03:51:26,-35.35,150.4667,56.88,52,88,18.41
147,Guiratinga,BR,2021-07-17 03:51:26,-16.3494,-53.7583,67.87,37,0,3.24
148,Guarulhos,BR,2021-07-17 03:51:26,-23.4628,-46.5333,64.35,94,90,5.75
149,Kieta,PG,2021-07-17 03:51:27,-6.2167,155.6333,86.85,68,100,9.17
150,Mar Del Plata,AR,2021-07-17 03:51:27,-38.0023,-57.5575,50.0,66,0,8.01
151,Ucluelet,CA,2021-07-17 03:51:10,48.9329,-125.5528,62.1,93,89,5.73
152,Sile,TR,2021-07-17 03:51:27,41.1754,29.6133,74.07,79,3,7.07
153,Nsanje,MW,2021-07-17 03:51:28,-16.92,35.262,55.87,93,11,1.99
154,Bilma,NE,2021-07-17 03:51:28,18.6853,12.9164,89.2,31,66,2.62
155,Kortkeros,RU,2021-07-17 03:51:28,61.8106,51.5806,68.0,61,71,2.59
156,Alice Springs,AU,2021-07-17 03:50:42,-23.7,133.8833,62.15,36,5,9.22
157,Bembereke,BJ,2021-07-17 03:51:29,10.2283,2.6634,70.66,93,98,6.93
158,Norman Wells,CA,2021-07-17 03:51:29,65.282,-126.8329,68.04,30,20,6.91
159,Kavieng,PG,2021-07-17 03:51:29,-2.5744,150.7967,84.72,73,74,9.01
160,Marawi,PH,2021-07-17 03:51:30,7.9986,124.2928,81.43,63,100,3.8
161,Ornskoldsvik,SE,2021-07-17 03:51:30,63.2909,18.7153,58.15,82,75,4.61
162,Saint George,US,2021-07-17 03:51:30,37.1041,-113.5841,93.63,35,1,1.99
163,Areia Branca,BR,2021-07-17 03:51:30,-4.9561,-37.1369,75.45,83,27,11.9
164,Ribeira Grande,PT,2021-07-17 03:51:31,38.5167,-28.7,66.49,67,20,8.81
165,Porto Novo,BJ,2021-07-17 03:51:31,6.4965,2.6036,76.82,94,100,7.11
166,Arlit,NE,2021-07-17 03:51:31,18.7369,7.3853,95.0,12,71,13.35
167,Suntar,RU,2021-07-17 03:51:32,62.1444,117.6319,84.52,35,66,7.63
168,Mlonggo,ID,2021-07-17 03:51:32,-6.5333,110.7,87.69,54,95,4.63
169,Deputatskiy,RU,2021-07-17 03:51:32,69.3,139.9,52.65,75,100,13.42
170,Troy,US,2021-07-17 03:51:33,42.6056,-83.1499,68.56,95,100,1.99
171,Koygorodok,RU,2021-07-17 03:51:33,60.445,50.9968,67.8,67,56,3.02
172,Hasaki,JP,2021-07-17 03:51:33,35.7333,140.8333,90.28,72,6,9.33
173,Dali,CN,2021-07-17 03:51:33,25.7,100.1833,70.66,75,94,3.76
174,Walvis Bay,NA,2021-07-17 03:51:34,-22.9575,14.5053,72.55,15,0,18.41
175,Katsuura,JP,2021-07-17 03:51:34,35.1333,140.3,86.14,72,7,6.76
176,Vila Franca Do Campo,PT,2021-07-17 03:51:35,37.7167,-25.4333,66.61,82,46,7.56
177,Lucapa,AO,2021-07-17 03:51:35,-8.4192,20.7447,60.94,39,63,4.14
178,Chokurdakh,RU,2021-07-17 03:51:35,70.6333,147.9167,70.32,32,90,15.3
179,Katangli,RU,2021-07-17 03:51:36,51.7102,143.2326,83.89,54,27,18.05
180,Hambantota,LK,2021-07-17 03:51:36,6.1241,81.1185,84.54,79,20,8.05
