City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
319,Alenquer,BR,75.54,broken clouds,-1.9417,-54.7383,Josilene Castro
321,Provideniya,RU,54.63,overcast clouds,64.3833,-173.3,
322,Sakakah,SA,83.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
323,Maryville,US,79.0,clear sky,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
324,Harper,LR,74.62,overcast clouds,4.375,-7.7169,Screensaver
325,Loanda,AO,69.8,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
326,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
327,Hambantota,LK,80.94,broken clouds,6.1241,81.1185,Bungalow 63
328,Aksarka,RU,57.15,scattered clouds,66.5606,67.7975,
329,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
330,Coquimbo,CL,53.33,overcast clouds,-29.9533,-71.3436,Punto de encuentro
331,Abu Zabad,SD,79.54,overcast clouds,12.35,29.25,حامد محمد نور
332,Christchurch,NZ,53.01,clear sky,-43.5333,172.6333,The George
334,Bambanglipuro,ID,82.72,few clouds,-7.95,110.2833,Puri Brata
335,Dong Xoai,VN,79.16,overcast clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
336,Bandarbeyla,SO,78.6,scattered clouds,9.4942,50.8122,JABIR HOTEL
337,Cabedelo,BR,72.27,clear sky,-6.9811,-34.8339,Hotel Pigalle
339,Lavrentiya,RU,53.53,clear sky,65.5833,-171.0,
340,Praya,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
341,Sorland,NO,52.3,light rain,67.667,12.6934,Sjybrygga fiskecamp
342,Desna,UA,64.92,overcast clouds,50.9273,30.7605,Бомж-Ти-Хаус
344,Petersburg,US,75.85,clear sky,37.2279,-77.4019,Hilton Garden Inn Richmond South/Southpark
345,Ketchikan,US,54.5,moderate rain,55.3422,-131.6461,Snows Cove Lodge
346,Kolokani,ML,75.04,scattered clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
347,Meshcherino,RU,57.02,broken clouds,55.1957,38.36,Little Village
348,Olafsvik,IS,52.5,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
349,Elko,US,87.75,broken clouds,41.0002,-115.5012,
350,Grand Gaube,MU,68.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
