City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
294,Cherskiy,RU,68.75,161.3,53.15,57,93,11.05,overcast clouds
295,Zambezi,ZM,-13.5432,23.1047,49.71,51,97,4.25,overcast clouds
296,Buta,CD,2.7858,24.73,68.9,100,100,1.25,light rain
297,Blyth,GB,55.1271,-1.5086,61.36,83,90,4.61,overcast clouds
298,Noyabrsk,RU,63.1994,75.4507,58.77,76,85,7.47,overcast clouds
299,Qaqortoq,GL,60.7167,-46.0333,43.21,85,49,2.3,scattered clouds
300,Revda,RU,56.801,59.9303,56.21,69,100,1.95,overcast clouds
301,Paka,MY,4.6374,103.4368,82.33,83,20,4.61,light rain
302,Hudson Bay,CA,52.85,-102.3842,71.6,37,52,12.03,broken clouds
303,Sarab,IR,38.6066,44.9883,75.07,51,0,4.34,clear sky
304,Adrar,MR,20.5022,-10.0711,87.85,22,51,13.15,broken clouds
305,Goderich,CA,43.7501,-81.7165,68.32,77,100,4.61,overcast clouds
306,Kardla,EE,58.9978,22.7492,58.48,69,2,7.4,clear sky
307,Kushima,JP,31.4583,131.2333,86.04,86,100,12.77,overcast clouds
308,Lasa,IT,46.6166,10.7002,65.28,76,98,2.75,overcast clouds
309,Tramore,IE,52.1624,-7.1524,64.63,74,99,4.0,overcast clouds
310,Marrakesh,MA,31.6315,-8.0083,84.27,45,40,4.61,scattered clouds
311,Zhigansk,RU,66.7697,123.3711,73.81,38,92,10.94,overcast clouds
312,Formosa,AR,-26.1775,-58.1781,64.38,68,0,6.91,clear sky
313,Plouzane,FR,48.3833,-4.6167,61.12,94,90,18.41,overcast clouds
314,Salalah,OM,17.0151,54.0924,77.5,96,100,12.59,overcast clouds
315,Leningradskiy,RU,69.3833,178.4167,38.77,83,99,5.37,overcast clouds
316,Belaya Gora,RU,68.5333,146.4167,67.93,35,71,7.52,broken clouds
317,Elliot Lake,CA,46.3834,-82.6331,64.49,80,100,5.28,overcast clouds
318,Spirovo,RU,57.419,34.9766,53.98,73,100,4.61,overcast clouds
319,Alenquer,BR,-1.9417,-54.7383,75.54,69,77,3.62,broken clouds
320,Narsaq,GL,60.9167,-46.05,45.37,75,52,1.68,broken clouds
321,Provideniya,RU,64.3833,-173.3,54.63,73,100,7.45,overcast clouds
322,Sakakah,SA,29.9697,40.2064,83.77,37,0,8.19,clear sky
323,Maryville,US,35.7565,-83.9705,79.0,83,0,2.39,clear sky
324,Harper,LR,4.375,-7.7169,74.62,75,100,6.42,overcast clouds
325,Loanda,AO,-8.8368,13.2343,69.8,88,40,4.61,scattered clouds
326,San Andres,CO,12.5847,-81.7006,82.42,83,75,14.97,broken clouds
327,Hambantota,LK,6.1241,81.1185,80.94,89,75,12.66,broken clouds
328,Aksarka,RU,66.5606,67.7975,57.15,68,36,9.42,scattered clouds
329,Isangel,VU,-19.55,169.2667,86.11,66,75,0.0,broken clouds
330,Coquimbo,CL,-29.9533,-71.3436,53.33,82,90,2.3,overcast clouds
331,Abu Zabad,SD,12.35,29.25,79.54,63,100,5.64,overcast clouds
332,Christchurch,NZ,-43.5333,172.6333,53.01,75,0,4.0,clear sky
333,Vardo,NO,70.3705,31.1107,46.15,82,100,36.33,overcast clouds
334,Bambanglipuro,ID,-7.95,110.2833,82.72,61,12,13.02,few clouds
335,Dong Xoai,VN,11.5333,106.9167,79.16,90,100,8.9,overcast clouds
336,Bandarbeyla,SO,9.4942,50.8122,78.6,63,43,31.07,scattered clouds
337,Cabedelo,BR,-6.9811,-34.8339,72.27,83,1,14.92,clear sky
338,Henties Bay,NA,-22.116,14.2845,67.86,19,3,19.42,clear sky
339,Lavrentiya,RU,65.5833,-171.0,53.53,69,6,9.28,clear sky
340,Praya,CV,14.9215,-23.5087,75.74,69,75,9.22,broken clouds
341,Sorland,NO,67.667,12.6934,52.3,97,100,19.62,light rain
342,Desna,UA,50.9273,30.7605,64.92,69,100,5.91,overcast clouds
343,Ghanzi,BW,-21.5667,21.7833,38.08,28,0,8.41,clear sky
344,Petersburg,US,37.2279,-77.4019,75.85,89,1,0.0,clear sky
345,Ketchikan,US,55.3422,-131.6461,54.5,98,100,2.77,moderate rain
346,Kolokani,ML,13.5728,-8.0339,75.04,82,34,6.29,scattered clouds
